更新时间: 2025-11-22 04:12:09（北京时间）

更新时间,#genre#
2025-11-22 04:12:09,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV7,http://223.167.245.20:8001/rtp/239.45.3.56:5140$上海市电信
CCTV7,http://59.61.211.240:4022/rtp/239.61.2.175:9038$福建省电信
CCTV7,http://111.123.121.224:8881/rtp/238.255.2.12:5999$贵州电信
CCTV7,http://115.205.146.96:9999/rtp/233.50.200.102:5140$浙江电信
CCTV7,http://180.157.233.109:4022/rtp/239.45.3.56:5140$上海市电信
CCTV7,http://144.255.40.71:7788/rtp/239.21.1.152:5002$山东电信
CCTV7,http://180.173.153.19:9999/rtp/239.45.3.56:5140$上海市电信
CCTV7,http://106.116.241.171:8008/rtp/239.254.200.159:6000$河北省电信
CCTV7,http://116.231.170.130:8001/rtp/239.45.3.56:5140$上海市电信
CCTV7,http://183.30.201.128:10002/rtp/239.77.0.138:5146$广东电信
CCTV7,http://183.30.201.128:10002/rtp/239.77.1.159:5146$广东电信
CCTV7,http://113.66.40.9:10000/rtp/239.77.0.138:5146$广东电信
CCTV7,http://113.66.40.9:10000/rtp/239.77.1.159:5146$广东电信
CCTV7,http://116.233.24.207:4022/rtp/239.45.3.56:5140$上海市电信
CCTV7,http://116.233.22.3:4022/rtp/239.45.3.56:5140$上海市电信
CCTV7,http://125.94.172.73:4000/rtp/239.77.0.138:5146$广东电信
CCTV7,http://125.94.172.73:4000/rtp/239.77.1.159:5146$广东电信
CCTV8,http://113.101.244.51:10000/rtp/239.77.0.172:5146$广东电信
CCTV8,http://113.101.244.51:10000/rtp/239.77.1.10:5146$广东电信
CCTV8,http://60.168.230.88:2000/rtp/238.1.78.173:7256$安徽电信
CCTV8,http://144.255.18.234:6688/rtp/239.21.2.48:5002$山东电信
CCTV8,http://116.233.63.135:5555/rtp/239.45.1.71:5140$上海市电信
CCTV8,http://112.87.111.111:4000/rtp/239.49.8.77:8000$江苏电信
CCTV8,http://223.167.245.20:8001/rtp/239.45.1.71:5140$上海市电信
CCTV8,http://59.61.211.240:4022/rtp/239.61.3.37:9740$福建省电信
CCTV8,http://111.123.121.224:8881/rtp/238.255.2.136:5999$贵州电信
CCTV8,http://115.205.146.96:9999/rtp/233.50.201.116:5140$浙江电信
CCTV8,http://180.157.233.109:4022/rtp/239.45.1.71:5140$上海市电信
CCTV8,http://144.255.40.71:7788/rtp/239.21.2.48:5002$山东电信
CCTV8,http://180.173.153.19:9999/rtp/239.45.1.71:5140$上海市电信
CCTV8,http://106.116.241.171:8008/rtp/239.254.201.155:7208$河北省电信
CCTV8,http://116.231.170.130:8001/rtp/239.45.1.71:5140$上海市电信
CCTV8,http://183.30.201.128:10002/rtp/239.77.0.172:5146$广东电信
CCTV8,http://183.30.201.128:10002/rtp/239.77.1.10:5146$广东电信
CCTV8,http://113.66.40.9:10000/rtp/239.77.0.172:5146$广东电信
CCTV8,http://113.66.40.9:10000/rtp/239.77.1.10:5146$广东电信
CCTV8,http://116.233.24.207:4022/rtp/239.45.1.71:5140$上海市电信
CCTV8,http://116.233.22.3:4022/rtp/239.45.1.71:5140$上海市电信
CCTV8,http://125.94.172.73:4000/rtp/239.77.0.172:5146$广东电信
CCTV8,http://125.94.172.73:4000/rtp/239.77.1.10:5146$广东电信
CCTV9,http://113.101.244.51:10000/rtp/239.77.0.135:5146$广东电信
CCTV9,http://113.101.244.51:10000/rtp/239.77.1.160:5146$广东电信
CCTV9,http://60.168.230.88:2000/rtp/238.1.78.240:7792$安徽电信
CCTV9,http://144.255.18.234:6688/rtp/239.21.1.153:5002$山东电信
CCTV9,http://116.233.63.135:5555/rtp/239.45.3.4:5140$上海市电信
CCTV9,http://112.87.111.111:4000/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://223.167.245.20:8001/rtp/239.45.3.4:5140$上海市电信
CCTV9,http://59.61.211.240:4022/rtp/239.61.2.172:9020$福建省电信
CCTV9,http://111.123.121.224:8881/rtp/238.255.2.155:5999$贵州电信
CCTV9,http://115.205.146.96:9999/rtp/233.50.200.23:5140$浙江电信
CCTV9,http://180.157.233.109:4022/rtp/239.45.3.4:5140$上海市电信
CCTV9,http://144.255.40.71:7788/rtp/239.21.1.153:5002$山东电信
CCTV9,http://180.173.153.19:9999/rtp/239.45.3.4:5140$上海市电信
CCTV9,http://106.116.241.171:8008/rtp/239.254.200.59:8112$河北省电信
CCTV9,http://116.231.170.130:8001/rtp/239.45.3.4:5140$上海市电信
CCTV9,http://183.30.201.128:10002/rtp/239.77.0.135:5146$广东电信
CCTV9,http://183.30.201.128:10002/rtp/239.77.1.160:5146$广东电信
CCTV9,http://113.66.40.9:10000/rtp/239.77.0.135:5146$广东电信
CCTV9,http://113.66.40.9:10000/rtp/239.77.1.160:5146$广东电信
CCTV9,http://116.233.24.207:4022/rtp/239.45.3.4:5140$上海市电信
CCTV9,http://116.233.22.3:4022/rtp/239.45.3.4:5140$上海市电信
CCTV9,http://125.94.172.73:4000/rtp/239.77.0.135:5146$广东电信
CCTV9,http://125.94.172.73:4000/rtp/239.77.1.160:5146$广东电信
CCTV10,http://113.101.244.51:10000/rtp/239.77.0.134:5146$广东电信
CCTV10,http://113.101.244.51:10000/rtp/239.77.1.113:5146$广东电信
CCTV10,http://60.168.230.88:2000/rtp/238.1.78.241:7800$安徽电信
CCTV10,http://144.255.18.234:6688/rtp/239.21.1.155:5002$山东电信
CCTV10,http://116.233.63.135:5555/rtp/239.45.3.8:5140$上海市电信
CCTV10,http://112.87.111.111:4000/rtp/239.49.8.54:9818$江苏电信
CCTV10,http://223.167.245.20:8001/rtp/239.45.3.8:5140$上海市电信
CCTV10,http://59.61.211.240:4022/rtp/239.61.2.176:9044$福建省电信
CCTV10,http://111.123.121.224:8881/rtp/238.255.2.13:5999$贵州电信
CCTV10,http://115.205.146.96:9999/rtp/233.50.200.22:5140$浙江电信
CCTV10,http://180.157.233.109:4022/rtp/239.45.3.8:5140$上海市电信
CCTV10,http://144.255.40.71:7788/rtp/239.21.1.155:5002$山东电信
CCTV10,http://180.173.153.19:9999/rtp/239.45.3.8:5140$上海市电信
CCTV10,http://106.116.241.171:8008/rtp/239.254.200.160:6000$河北省电信
CCTV10,http://116.231.170.130:8001/rtp/239.45.3.8:5140$上海市电信
CCTV10,http://183.30.201.128:10002/rtp/239.77.0.134:5146$广东电信
CCTV10,http://183.30.201.128:10002/rtp/239.77.1.113:5146$广东电信
CCTV10,http://113.66.40.9:10000/rtp/239.77.0.134:5146$广东电信
CCTV10,http://113.66.40.9:10000/rtp/239.77.1.113:5146$广东电信
CCTV10,http://116.233.24.207:4022/rtp/239.45.3.8:5140$上海市电信
CCTV10,http://116.233.22.3:4022/rtp/239.45.3.8:5140$上海市电信
CCTV10,http://125.94.172.73:4000/rtp/239.77.0.134:5146$广东电信
CCTV10,http://125.94.172.73:4000/rtp/239.77.1.113:5146$广东电信
CCTV11,http://113.101.244.51:10000/rtp/239.77.1.108:5146$广东电信
CCTV11,http://113.101.244.51:10000/rtp/239.77.1.238:5146$广东电信
CCTV11,http://60.168.230.88:2000/rtp/238.1.78.206:7502$安徽电信
CCTV11,http://144.255.18.234:6688/rtp/239.21.2.2:5002$山东电信
CCTV11,http://116.233.63.135:5555/rtp/239.45.1.196:5140$上海市电信
CCTV11,http://112.87.111.111:4000/rtp/239.49.0.127:8000$江苏电信
CCTV11,http://223.167.245.20:8001/rtp/239.45.1.196:5140$上海市电信
CCTV11,http://59.61.211.240:4022/rtp/239.61.2.21:8120$福建省电信
CCTV11,http://111.123.121.224:8881/rtp/238.255.2.14:5999$贵州电信
CCTV11,http://115.205.146.96:9999/rtp/233.50.200.132:5140$浙江电信
CCTV11,http://180.157.233.109:4022/rtp/239.45.1.196:5140$上海市电信
CCTV11,http://144.255.40.71:7788/rtp/239.21.2.2:5002$山东电信
CCTV11,http://180.173.153.19:9999/rtp/239.45.1.196:5140$上海市电信
CCTV11,http://106.116.241.171:8008/rtp/239.254.201.123:8120$河北省电信
CCTV11,http://116.231.170.130:8001/rtp/239.45.1.196:5140$上海市电信
CCTV11,http://183.30.201.128:10002/rtp/239.77.1.108:5146$广东电信
CCTV11,http://183.30.201.128:10002/rtp/239.77.1.238:5146$广东电信
CCTV11,http://113.66.40.9:10000/rtp/239.77.1.108:5146$广东电信
CCTV11,http://113.66.40.9:10000/rtp/239.77.1.238:5146$广东电信
CCTV11,http://116.233.24.207:4022/rtp/239.45.1.196:5140$上海市电信
CCTV11,http://116.233.22.3:4022/rtp/239.45.1.196:5140$上海市电信
CCTV11,http://125.94.172.73:4000/rtp/239.77.1.108:5146$广东电信
CCTV11,http://125.94.172.73:4000/rtp/239.77.1.238:5146$广东电信
CCTV12,http://113.101.244.51:10000/rtp/239.77.0.136:5146$广东电信
CCTV12,http://113.101.244.51:10000/rtp/239.77.1.109:5146$广东电信
CCTV12,http://60.168.230.88:2000/rtp/238.1.78.242:7808$安徽电信
CCTV12,http://144.255.18.234:6688/rtp/239.21.1.156:5002$山东电信
CCTV12,http://116.233.63.135:5555/rtp/239.45.3.10:5140$上海市电信
CCTV12,http://112.87.111.111:4000/rtp/239.49.8.55:9822$江苏电信
CCTV12,http://223.167.245.20:8001/rtp/239.45.3.10:5140$上海市电信
CCTV12,http://59.61.211.240:4022/rtp/239.61.2.177:9050$福建省电信
CCTV12,http://111.123.121.224:8881/rtp/238.255.2.15:5999$贵州电信
CCTV12,http://115.205.146.96:9999/rtp/233.50.200.21:5140$浙江电信
CCTV12,http://180.157.233.109:4022/rtp/239.45.3.10:5140$上海市电信
CCTV12,http://144.255.40.71:7788/rtp/239.21.1.156:5002$山东电信
CCTV12,http://180.173.153.19:9999/rtp/239.45.3.10:5140$上海市电信
CCTV12,http://106.116.241.171:8008/rtp/239.254.200.161:6000$河北省电信
CCTV12,http://116.231.170.130:8001/rtp/239.45.3.10:5140$上海市电信
CCTV12,http://183.30.201.128:10002/rtp/239.77.0.136:5146$广东电信
CCTV12,http://183.30.201.128:10002/rtp/239.77.1.109:5146$广东电信
CCTV12,http://113.66.40.9:10000/rtp/239.77.0.136:5146$广东电信
CCTV12,http://113.66.40.9:10000/rtp/239.77.1.109:5146$广东电信
CCTV12,http://116.233.24.207:4022/rtp/239.45.3.10:5140$上海市电信
CCTV12,http://116.233.22.3:4022/rtp/239.45.3.10:5140$上海市电信
CCTV12,http://125.94.172.73:4000/rtp/239.77.0.136:5146$广东电信
CCTV12,http://125.94.172.73:4000/rtp/239.77.1.109:5146$广东电信
CCTV13,http://113.101.244.51:10000/rtp/239.77.0.188:5146$广东电信
CCTV13,http://113.101.244.51:10000/rtp/239.253.43.196:5146$广东电信
CCTV13,http://60.168.230.88:2000/rtp/238.1.79.35:4392$安徽电信
CCTV13,http://144.255.18.234:6688/rtp/239.21.2.3:5002$山东电信
CCTV13,http://116.233.63.135:5555/rtp/239.45.1.198:5140$上海市电信
CCTV13,http://112.87.111.111:4000/rtp/239.49.8.109:8000$江苏电信
CCTV13,http://223.167.245.20:8001/rtp/239.45.1.198:5140$上海市电信
CCTV13,http://59.61.211.240:4022/rtp/239.61.2.23:8132$福建省电信
CCTV13,http://111.123.121.224:8881/rtp/238.255.2.16:5999$贵州电信
CCTV13,http://111.123.121.224:8881/rtp/238.255.2.218:5999$贵州电信
CCTV13,http://115.205.146.96:9999/rtp/233.50.200.97:5140$浙江电信
CCTV13,http://180.157.233.109:4022/rtp/239.45.1.198:5140$上海市电信
CCTV13,http://144.255.40.71:7788/rtp/239.21.2.3:5002$山东电信
CCTV13,http://180.173.153.19:9999/rtp/239.45.1.198:5140$上海市电信
CCTV13,http://106.116.241.171:8008/rtp/239.254.200.9:8264$河北省电信
CCTV13,http://116.231.170.130:8001/rtp/239.45.1.198:5140$上海市电信
CCTV13,http://183.30.201.128:10002/rtp/239.77.0.188:5146$广东电信
CCTV13,http://183.30.201.128:10002/rtp/239.253.43.196:5146$广东电信
CCTV13,http://113.66.40.9:10000/rtp/239.77.0.188:5146$广东电信
CCTV13,http://113.66.40.9:10000/rtp/239.253.43.196:5146$广东电信
CCTV13,http://116.233.24.207:4022/rtp/239.45.1.198:5140$上海市电信
CCTV13,http://116.233.22.3:4022/rtp/239.45.1.198:5140$上海市电信
CCTV13,http://125.94.172.73:4000/rtp/239.77.0.188:5146$广东电信
CCTV13,http://125.94.172.73:4000/rtp/239.253.43.196:5146$广东电信
CCTV14,http://113.101.244.51:10000/rtp/239.77.0.133:5146$广东电信
CCTV14,http://113.101.244.51:10000/rtp/239.77.1.161:5146$广东电信
CCTV14,http://60.168.230.88:2000/rtp/238.1.78.243:7816$安徽电信
CCTV14,http://144.255.18.234:6688/rtp/239.21.1.157:5002$山东电信
CCTV14,http://116.233.63.135:5555/rtp/239.45.3.23:5140$上海市电信
CCTV14,http://112.87.111.111:4000/rtp/239.49.8.56:9826$江苏电信
CCTV14,http://223.167.245.20:8001/rtp/239.45.3.23:5140$上海市电信
CCTV14,http://59.61.211.240:4022/rtp/239.61.2.178:9056$福建省电信
CCTV14,http://111.123.121.224:8881/rtp/238.255.2.17:5999$贵州电信
CCTV14,http://115.205.146.96:9999/rtp/233.50.200.103:5140$浙江电信
CCTV14,http://180.157.233.109:4022/rtp/239.45.3.23:5140$上海市电信
CCTV14,http://144.255.40.71:7788/rtp/239.21.1.157:5002$山东电信
CCTV14,http://180.173.153.19:9999/rtp/239.45.3.23:5140$上海市电信
CCTV14,http://106.116.241.171:8008/rtp/239.254.200.162:6000$河北省电信
CCTV14,http://116.231.170.130:8001/rtp/239.45.3.23:5140$上海市电信
CCTV14,http://183.30.201.128:10002/rtp/239.77.0.133:5146$广东电信
CCTV14,http://183.30.201.128:10002/rtp/239.77.1.161:5146$广东电信
CCTV14,http://113.66.40.9:10000/rtp/239.77.0.133:5146$广东电信
